Line, Point, X_mm, Y_mm, Z_mm, Theta_deg, Phi_deg, Length_mm, Rec_length_mm
5192,2120,-3.8354,-6.6001,3.0647,20,0,3.58,3.28
5216,2120,-3.8354,-6.1001,2.6747,10,0,3.08,2.78
5216,2120,-3.8354,-6.1001,2.6747,20,0,4,3.7
5240,2120,-3.8354,-5.6001,2.3247,10,0,3.23,2.93
5240,2120,-3.8354,-5.6001,2.3247,20,0,4.28,3.8
5264,2120,-3.8354,-5.1001,2.0147,10,0,3.26,2.96
5264,2120,-3.8354,-5.1001,2.0147,20,0,4.49,3.8
5288,2120,-3.8354,-4.6001,1.6847,10,0,3.8,3.5
5288,2120,-3.8354,-4.6001,1.6847,20,0,4.62,3.8
5312,2120,-3.8354,-4.1001,1.3547,10,0,4.58,3.8
5312,2120,-3.8354,-4.1001,1.3547,20,0,5.06,3.8
5336,2120,-3.8354,-3.6001,1.1847,10,0,5.04,3.8
5336,2120,-3.8354,-3.6001,1.1847,20,0,4.68,3.8
5360,2120,-3.8354,-3.1001,1.1247,10,0,5.35,3.8
5360,2120,-3.8354,-3.1001,1.1247,20,0,4.96,3.8
5384,2120,-3.8354,-2.6001,1.0647,10,0,5.49,3.8
5384,2120,-3.8354,-2.6001,1.0647,20,0,5.24,3.8
5408,2120,-3.8354,-2.1001,1.0647,10,0,5.57,3.8
5408,2120,-3.8354,-2.1001,1.0647,20,0,5.37,3.8
5432,2120,-3.8354,-1.6001,1.1047,10,0,5.61,3.8
5432,2120,-3.8354,-1.6001,1.1047,20,0,5.5,3.8
5456,2120,-3.8354,-1.1001,1.1047,10,0,5.69,3.8
5456,2120,-3.8354,-1.1001,1.1047,20,0,5.58,3.8
5480,2120,-3.8354,-0.6001,1.2047,10,0,5.55,3.8
5480,2120,-3.8354,-0.6001,1.2047,20,0,5.56,3.8
5504,2120,-3.8354,-0.1001,1.3647,10,0,5.22,3.8
5504,2120,-3.8354,-0.1001,1.3647,20,0,5.13,3.8
5528,2120,-3.8354,0.3999,1.5647,10,0,4.49,3.8
5528,2120,-3.8354,0.3999,1.5647,20,0,5.18,3.8
5552,2120,-3.8354,0.8999,1.8947,10,0,3.55,3.25
5552,2120,-3.8354,0.8999,1.8947,20,0,4.74,3.8
5576,2120,-3.8354,1.3999,2.3647,20,0,3.22,2.92
5144,2144,-3.3354,-7.6001,3.0847,20,0,4.28,3.8
5168,2144,-3.3354,-7.1001,2.6647,10,0,3.62,3.32
5168,2144,-3.3354,-7.1001,2.6647,20,0,4.73,3.8
5192,2144,-3.3354,-6.6001,2.3247,10,0,4.17,3.8
5192,2144,-3.3354,-6.6001,2.3247,20,0,5.01,3.8
5216,2144,-3.3354,-6.1001,2.2447,10,0,3.56,3.26
5216,2144,-3.3354,-6.1001,2.2447,20,0,4.88,3.8
5240,2144,-3.3354,-5.6001,1.8447,10,0,4.25,3.8
5240,2144,-3.3354,-5.6001,1.8447,20,0,5.26,3.8
5264,2144,-3.3354,-5.1001,1.5647,10,0,4.62,3.8
5264,2144,-3.3354,-5.1001,1.5647,20,0,5.52,3.8
5288,2144,-3.3354,-4.6001,1.2847,10,0,4.66,3.8
5288,2144,-3.3354,-4.6001,1.2847,20,0,5.73,3.8
5312,2144,-3.3354,-4.1001,1.0247,10,0,5.04,3.8
5312,2144,-3.3354,-4.1001,1.0247,20,0,5.84,3.8
5336,2144,-3.3354,-3.6001,0.88471,10,0,4.9,3.8
5336,2144,-3.3354,-3.6001,0.88471,20,0,5.82,3.8
5360,2144,-3.3354,-3.1001,0.80471,10,0,5.26,3.8
5360,2144,-3.3354,-3.1001,0.80471,20,0,5.18,3.8
5384,2144,-3.3354,-2.6001,0.76471,10,0,5.51,3.8
5384,2144,-3.3354,-2.6001,0.76471,20,0,5.33,3.8
5408,2144,-3.3354,-2.1001,0.72471,10,0,5.71,3.8
5408,2144,-3.3354,-2.1001,0.72471,20,0,5.52,3.8
5432,2144,-3.3354,-1.6001,0.72471,10,0,5.79,3.8
5432,2144,-3.3354,-1.6001,0.72471,20,0,5.69,3.8
5456,2144,-3.3354,-1.1001,0.76471,10,0,5.87,3.8
5456,2144,-3.3354,-1.1001,0.76471,20,0,5.69,3.8
5480,2144,-3.3354,-0.6001,0.84471,10,0,5.79,3.8
5480,2144,-3.3354,-0.6001,0.84471,20,0,5.77,3.8
5504,2144,-3.3354,-0.1001,0.96471,10,0,5.35,3.8
5504,2144,-3.3354,-0.1001,0.96471,20,0,5.43,3.8
5528,2144,-3.3354,0.3999,1.1247,10,0,5.35,3.8
5528,2144,-3.3354,0.3999,1.1247,20,0,5.56,3.8
5552,2144,-3.3354,0.8999,1.3647,10,0,4.86,3.8
5552,2144,-3.3354,0.8999,1.3647,20,0,5.26,3.8
5576,2144,-3.3354,1.3999,1.6447,10,0,3.92,3.62
5576,2144,-3.3354,1.3999,1.6447,20,0,4.88,3.8
5600,2144,-3.3354,1.8999,1.9047,20,0,3.58,3.28
5144,2168,-2.8354,-7.6001,2.6247,10,0,4.39,3.8
5144,2168,-2.8354,-7.6001,2.6247,20,0,4.94,3.8
5168,2168,-2.8354,-7.1001,2.2247,10,0,4.76,3.8
5168,2168,-2.8354,-7.1001,2.2247,20,0,5.37,3.8
5192,2168,-2.8354,-6.6001,2.0447,10,0,4.86,3.8
5192,2168,-2.8354,-6.6001,2.0447,20,0,5.43,3.8
5216,2168,-2.8354,-6.1001,1.8247,10,0,4.92,3.8
5216,2168,-2.8354,-6.1001,1.8247,20,0,5.5,3.8
5240,2168,-2.8354,-5.6001,1.4847,10,0,5.31,3.8
5240,2168,-2.8354,-5.6001,1.4847,20,0,5.73,3.8
5264,2168,-2.8354,-5.1001,1.2447,10,0,5.35,3.8
5264,2168,-2.8354,-5.1001,1.2447,20,0,5.86,3.8
5288,2168,-2.8354,-4.6001,0.96471,10,0,5.51,3.8
5288,2168,-2.8354,-4.6001,0.96471,20,0,6.11,3.8
5312,2168,-2.8354,-4.1001,0.75471,10,0,5.48,3.8
5312,2168,-2.8354,-4.1001,0.75471,20,0,6.12,3.8
5336,2168,-2.8354,-3.6001,0.64471,10,0,4.57,3.8
5336,2168,-2.8354,-3.6001,0.64471,20,0,6.07,3.8
5360,2168,-2.8354,-3.1001,0.58471,10,0,5.33,3.8
5360,2168,-2.8354,-3.1001,0.58471,20,0,5.28,3.8
5384,2168,-2.8354,-2.6001,0.54471,10,0,5.45,3.8
5384,2168,-2.8354,-2.6001,0.54471,20,0,5.92,3.8
